Fips,name,country.etc,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012
16980,Chicago,IL,1.48,-5.02,0.88,4.54,4.32
26420,Houston,TX,9.8,-10.87,2.92,9.54,4.5
31080,Los Angeles,CA,2.07,-4.53,1.36,4.33,3.5
35620,New York,NY,1.19,-3.7,2.79,4.79,2.6
47900,DC,DC,2.99,-2.27,1.7,4.48,1.49
12060,Atlanta,GA,-0.92,-5.26,-0.77,6.06,2.71
14460,Boston,MA,2.16,-2.93,2.43,5.37,3.12
19100,Dallas,TX,5.34,-7.61,2.41,7.64,3.38
37980,Philadelphia,PA,3.33,-1.52,1.85,4.56,2.65
41860,San Francisco,CA,0.11,-6.84,2,7.26,5.78
19820,Detroit,MI,0.79,-5.51,2.18,6.26,3.64
33100,Miami,FL,-0.93,-7.19,2.19,3.54,2.59
33460,Minneapolis,MN,2.2,-5.31,2.8,5.76,2.87
38060,Phoenix,AZ,-1.78,-5.86,-0.2,5.05,2.25
42660,Seattle,WA,1.63,-5.69,1.14,4.89,4.05
12580,Baltimore,MD,2.82,-0.88,1.92,5.57,3.41
19740,Denver,CO,3.12,-4.63,0.48,6.33,3.7
38900,Portland,OR,2.61,-4.3,0.71,5.36,4.33
41740,San Diego,CA,2.42,-4.45,1.48,5.8,3.44
41940,San Jose,CA,-2.11,-7.87,5.73,9.15,6.22
16740,Charlotte,NC,1.09,-4.97,2.18,3.85,3.99
28140,Kansas City,KS,4.69,-3.69,0.46,4.6,3.31
38300,Pittsburgh,PA,3.58,-2.32,3.38,5.93,3.78
41180,Saint Louis,MO,4.41,-4.42,0.91,4.03,3.85
45300,Tampa,FL,-0.36,-4.43,5.38,2.94,3.74
